chamado_1,chamado_2,label,score
13810,13647,your daily monitor summary mar 11 m ≈ youve reached your api call limit m,60.85
13810,13587,your daily monitor summary mar 11 m ≈ youre fast approaching your api cal,61.78
13810,13092,your daily monitor summary mar 11 m ≈ dashboard dispositivos,51.24
13810,13006,your daily monitor summary mar 11 m ≈ demissao colaborador aviso previo t,51.2
13810,12677,your daily monitor summary mar 11 m ≈ tela gerencial nao aparece,52.21
13810,11871,your daily monitor summary mar 11 m ≈ errors in the monitor monitoramento,59.91
13810,11861,your daily monitor summary mar 11 m ≈ failures in the monitor monitoramen,59.44
13810,11752,your daily monitor summary mar 11 m ≈ issues resolved in the monitor moni,65.73
13810,11750,your daily monitor summary mar 11 m ≈ critical repeated monitoring errors,60.61
13777,13748,exclusao usuario sistema point serv ≈ cadastro point service,72.43
13777,13650,exclusao usuario sistema point serv ≈ res construtora portofs company4142,75.08
13777,13649,exclusao usuario sistema point serv ≈ re construtora portofs company41429,57.82
13777,13582,exclusao usuario sistema point serv ≈ demissao colaborador aviso previo t,67.97
13777,13579,exclusao usuario sistema point serv ≈ liberacao contrato point service,67.36
13777,13268,exclusao usuario sistema point serv ≈ alteracao permissao,58.49
13777,13259,exclusao usuario sistema point serv ≈ bug sincronizacao automatica app,53.83
13777,13266,exclusao usuario sistema point serv ≈ re adicao obras point service,68.8
13777,13265,exclusao usuario sistema point serv ≈ adicao obras point service,66.97
13777,13264,exclusao usuario sistema point serv ≈ solicitacao acesso,63.67
13777,13260,exclusao usuario sistema point serv ≈ cadastro funcionario,63.77
13777,13252,exclusao usuario sistema point serv ≈ cancelamento preventivas,52.95
13777,13236,exclusao usuario sistema point serv ≈ demissao colaborador indenizadoterm,62.87
13777,13226,exclusao usuario sistema point serv ≈ cancelamento ordem servico unidade ,54.79
13777,13225,exclusao usuario sistema point serv ≈ transferencia ordens servico unidad,62.7
13777,13195,exclusao usuario sistema point serv ≈ fwd solicitacao acesso,64.81
13777,13215,exclusao usuario sistema point serv ≈ cadastro funcionarios,58.4
13777,12996,exclusao usuario sistema point serv ≈ inativacao usuarios goiania,69.75
13777,13197,exclusao usuario sistema point serv ≈ re exclusao usuario sistema point s,82.76
13777,13088,exclusao usuario sistema point serv ≈ solicitacao cadastro colaboradores ,79.13
13777,12997,exclusao usuario sistema point serv ≈ aplicativo point service problema d,61.52
13777,13020,exclusao usuario sistema point serv ≈ planilhas composicoes saude educaca,72.29
13777,13018,exclusao usuario sistema point serv ≈ solicitacao logins point service,73.42
13777,13017,exclusao usuario sistema point serv ≈ cadastro usuario gurupi,61.45
13777,13016,exclusao usuario sistema point serv ≈ mapa colaboradores,51.2
13777,13009,exclusao usuario sistema point serv ≈ mudar mensagem erro,52.42
13777,12998,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,63.4
13777,12783,exclusao usuario sistema point serv ≈ pointservice hgr nao apresenta usua,57.22
13777,13002,exclusao usuario sistema point serv ≈ bug sistema dia 17012025,52.16
13777,13001,exclusao usuario sistema point serv ≈ point sevice correcao cpf,59.01
13777,12999,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,63.02
13777,12995,exclusao usuario sistema point serv ≈ cadastro funcionario emater,64.47
13777,12993,exclusao usuario sistema point serv ≈ cadastro usuarios point service,80.67
13777,12991,exclusao usuario sistema point serv ≈ bug sistema paraiso,51.1
13777,12989,exclusao usuario sistema point serv ≈ cadastro cadastro point service,56.81
13777,12736,exclusao usuario sistema point serv ≈ cadastro conta point service,70.86
13777,12986,exclusao usuario sistema point serv ≈ inativacao usuario araguaina,71.84
13777,12985,exclusao usuario sistema point serv ≈ erro sistema nao vincula paraiso,57.59
13777,12920,exclusao usuario sistema point serv ≈ cadastro usuario point service,84.05
13777,12889,exclusao usuario sistema point serv ≈ filtro pesquisa usuario,55.95
13777,12888,exclusao usuario sistema point serv ≈ cadastro usuario hgp,81.03
13777,12817,exclusao usuario sistema point serv ≈ 07122024,58.14
13777,12887,exclusao usuario sistema point serv ≈ fw servidores cadastro realizacao t,64.09
13777,12853,exclusao usuario sistema point serv ≈ problemas point service,51.74
13777,12818,exclusao usuario sistema point serv ≈ solicitacao cadastro login sistema ,78.4
13777,12815,exclusao usuario sistema point serv ≈ solicitacao atualizacao permissoes,60.83
13777,12810,exclusao usuario sistema point serv ≈ criacao usuario point service,76.95
13777,12809,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,74.52
13777,12803,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,73.55
13777,12808,exclusao usuario sistema point serv ≈ consulta dispositivos,58.15
13777,12807,exclusao usuario sistema point serv ≈ registro localizacao usuario celula,57.95
13777,12802,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,73.01
13777,12801,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,71.21
13777,12799,exclusao usuario sistema point serv ≈ teste 04,54.23
13777,12788,exclusao usuario sistema point serv ≈ enc construtora portofs company3762,70.16
13777,12786,exclusao usuario sistema point serv ≈ demissao colaborador aviso previo t,66.26
13777,12782,exclusao usuario sistema point serv ≈ alteracao versao microcontroladores,51.1
13777,12781,exclusao usuario sistema point serv ≈ solicitacao acesso point service,75.41
13777,12780,exclusao usuario sistema point serv ≈ enc problemas point service,65.64
13777,12779,exclusao usuario sistema point serv ≈ pointservice sistema nao apresenta ,68.7
13777,12778,exclusao usuario sistema point serv ≈ cadastro usuario,79.29
13777,12775,exclusao usuario sistema point serv ≈ enc construtora portoconstrutora po,58.98
13777,12771,exclusao usuario sistema point serv ≈ adicao novos colaboradores point se,65.76
13777,12761,exclusao usuario sistema point serv ≈ cadastro usuario augustinopolis,63.09
13777,12752,exclusao usuario sistema point serv ≈ liberacao acesso regiao norte,79.1
13777,12740,exclusao usuario sistema point serv ≈ construtora porto sa,63.74
13777,12730,exclusao usuario sistema point serv ≈ solicitacao cadastro sistema point ,80.89
13777,12727,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,75.22
13777,12726,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,67.3
13777,12722,exclusao usuario sistema point serv ≈ cadastro colaborador,75.76
13777,12721,exclusao usuario sistema point serv ≈ solicitacao cadastro funcionario si,68.35
13777,12705,exclusao usuario sistema point serv ≈ cadastro usuarios goiania,73.48
13777,12704,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,75.13
13777,12703,exclusao usuario sistema point serv ≈ cadasro funcionario,50.95
13777,12702,exclusao usuario sistema point serv ≈ criacao login,50.37
13777,12701,exclusao usuario sistema point serv ≈ cancelamento preventiva,53.13
13777,12696,exclusao usuario sistema point serv ≈ solicitacao suporte verificacao int,57.48
13777,12695,exclusao usuario sistema point serv ≈ problema cadastro equpamentos ativo,60.1
13777,12689,exclusao usuario sistema point serv ≈ ola boa tarde preciso acesso pra ge,56.07
13777,12688,exclusao usuario sistema point serv ≈ inativacao usuario,59.49
13777,12678,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,77.98
13777,12677,exclusao usuario sistema point serv ≈ tela gerencial nao aparece,63.67
13777,12676,exclusao usuario sistema point serv ≈ enc construtora portoconstrutora po,60.0
13777,12662,exclusao usuario sistema point serv ≈ erro vincular solicitacao servico o,50.17
13777,12661,exclusao usuario sistema point serv ≈ atribuicoes perfil point service,59.34
13777,12658,exclusao usuario sistema point serv ≈ cadastro,60.77
13777,12653,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,72.92
13777,12652,exclusao usuario sistema point serv ≈ 03112024,67.85
13777,12650,exclusao usuario sistema point serv ≈ enc construtora portofs company3428,64.61
13777,12616,exclusao usuario sistema point serv ≈ permissao acesso colaborador unidad,74.82
13777,12639,exclusao usuario sistema point serv ≈ permissao usuario,66.14
13777,12625,exclusao usuario sistema point serv ≈ problema preventivas mes outubro re,56.62
13777,12624,exclusao usuario sistema point serv ≈ erro acesso tela crachas,56.33
13777,12623,exclusao usuario sistema point serv ≈ falha localizacao roraima,56.11
13777,12622,exclusao usuario sistema point serv ≈ usuarios localizacao gurupi,63.7
13777,12615,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,70.33
13777,12614,exclusao usuario sistema point serv ≈ unidades cadastrar point service,60.28
13777,12613,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,70.9
13777,12612,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,69.49
13777,12610,exclusao usuario sistema point serv ≈ acesso sistema,71.66
13777,12607,exclusao usuario sistema point serv ≈ re solicitacao acesso laryssa monte,60.5
13777,12606,exclusao usuario sistema point serv ≈ usuarios nao aparecem mapa,64.22
13777,12599,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,68.93
