chamado_1,chamado_2,label,score
13810,13711,your daily monitor summary mar 11 m ≈ your daily monitor summary mar 10 m,99.94
13810,13645,your daily monitor summary mar 11 m ≈ your daily monitor summary mar 9 ma,99.87
13810,13612,your daily monitor summary mar 11 m ≈ your daily monitor summary mar 8 ma,99.82
13810,13315,your daily monitor summary mar 11 m ≈ your daily monitor summary mar 1 ma,99.8
13810,13586,your daily monitor summary mar 11 m ≈ your daily monitor summary mar 6 ma,99.78
13777,13745,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.88
13777,11772,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.85
13777,12609,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.58
13777,12587,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.58
13777,12812,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.56
13748,12730,cadastro point service ≈ solicitacao cadastro sistema point ,78.75
13748,12766,cadastro point service ≈ demissao colaborador aviso previo t,77.13
13748,12722,cadastro point service ≈ cadastro colaborador,77.1
13748,12566,cadastro point service ≈ enc paraiso preventivas corretivas ,77.08
13748,13088,cadastro point service ≈ solicitacao cadastro colaboradores ,76.74
13747,12609,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,98.05
13747,13745,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.8
13747,12556,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.62
13747,13547,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.62
13747,12611,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.43
13746,13584,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,98.42
13746,12040,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,98.42
13746,11772,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,98.22
13746,13263,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,98.19
13746,12659,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,98.17
13745,13777,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.88
13745,13747,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.8
13745,12609,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.62
13745,13547,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.37
13745,12952,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.35
13516,13515,exclusao preventiva ≈ exclusao preventiva,48.9
13516,12423,exclusao preventiva ≈ demissao colaborador aviso previo t,47.83
13516,13646,exclusao preventiva ≈ exclusao preventiva dois usuarios,44.27
13516,11698,exclusao preventiva ≈ reativacao cadastro,43.86
13516,13480,exclusao preventiva ≈ cancelamento,37.9
13744,13548,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.97
13744,13651,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.59
13744,13271,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.23
13744,12544,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,97.16
